t,x,y,z,qw,qx,qy,qz,vx,vy,vz
0.67877674,0.00025029,-0.00108582,0.00065982,-0.00583932,-0.99966639,-0.02513083,0.00125378,-0.00002035,-0.00039852,0.00028592
0.68376684,0.00025903,-0.00118445,0.00064205,-0.00583453,-0.99966651,-0.02512690,0.00125812,-0.00002394,-0.00045989,0.00029228
0.68875766,0.00026667,-0.00128478,0.00062686,-0.00583051,-0.99966633,-0.02513149,0.00126238,-0.00002757,-0.00052395,0.00029753
0.69374871,0.00027551,-0.00139490,0.00060859,-0.00583579,-0.99966669,-0.02511668,0.00127797,-0.00002968,-0.00059348,0.00030272
0.69873953,0.00023720,-0.00085939,0.00068686,-0.00584054,-0.99966723,-0.02509356,0.00129469,-0.00003240,-0.00066463,0.00030556
0.70373058,0.00024200,-0.00094405,0.00067084,-0.00584632,-0.99966741,-0.02508603,0.00129661,-0.00000054,-0.00021003,0.00020294
0.70872092,0.00024809,-0.00103290,0.00065649,-0.00583395,-0.99966723,-0.02509608,0.00129439,-0.00000404,-0.00026153,0.00019927
0.71371174,0.00025403,-0.00112836,0.00064252,-0.00583208,-0.99966729,-0.02509351,0.00130436,-0.00000668,-0.00031535,0.00019774
0.71870279,0.00025978,-0.00122935,0.00063133,-0.00583586,-0.99966735,-0.02509226,0.00130475,-0.00000944,-0.00037213,0.00019575
0.72369385,0.00026545,-0.00133811,0.00061865,-0.00584391,-0.99966717,-0.02509419,0.00130767,-0.00001228,-0.00043195,0.00019724
0.72868466,0.00027103,-0.00145416,0.00060655,-0.00584722,-0.99966699,-0.02510067,0.00131176,-0.00001521,-0.00049519,0.00019655
0.73367476,0.00022287,-0.00090692,0.00063289,-0.00584343,-0.99966681,-0.02510903,0.00131097,0.00003421,-0.00006405,0.00008898
0.73866558,0.00022693,-0.00099277,0.00062063,-0.00583589,-0.99966699,-0.02510468,0.00130659,0.00003370,-0.00010060,0.00008862
0.74365664,0.00023148,-0.00108852,0.00060810,-0.00583930,-0.99966663,-0.02511871,0.00130296,0.00003276,-0.00014472,0.00008600
0.74864769,0.00023638,-0.00119145,0.00059543,-0.00585146,-0.99966669,-0.02511305,0.00130539,0.00003200,-0.00019189,0.00008246
0.75363874,0.00023876,-0.00129293,0.00058280,-0.00584888,-0.99966681,-0.02510717,0.00130961,0.00003059,-0.00024519,0.00007777
0.75862885,0.00024243,-0.00140430,0.00056924,-0.00585117,-0.99966681,-0.02510536,0.00131941,0.00002943,-0.00030023,0.00007370
0.76361966,0.00024600,-0.00152319,0.00055663,-0.00586434,-0.99966681,-0.02510203,0.00132313,0.00002815,-0.00035789,0.00006998
0.76861072,0.00017108,-0.00076208,0.00073402,-0.00585081,-0.99966663,-0.02511430,0.00132430,0.00006507,0.00003365,0.00004040
0.77360177,0.00017007,-0.00082955,0.00073097,-0.00585409,-0.99966663,-0.02511309,0.00132541,0.00006697,-0.00001652,0.00002715
0.77859259,0.00016895,-0.00090445,0.00072728,-0.00585888,-0.99966657,-0.02511404,0.00132295,0.00006768,-0.00006427,0.00002047
0.78358364,0.00017453,-0.00098082,0.00072735,-0.00586063,-0.99966633,-0.02512428,0.00131987,0.00006859,-0.00011535,0.00001440
0.78857374,0.00017632,-0.00108073,0.00072025,-0.00585962,-0.99966657,-0.02511441,0.00132239,0.00006959,-0.00016763,0.00001146
0.79356456,0.00017877,-0.00119427,0.00070971,-0.00586150,-0.99966609,-0.02513059,0.00131812,0.00007080,-0.00022375,0.00000738
0.79855585,0.00018210,-0.00132631,0.00069164,-0.00585815,-0.99966675,-0.02510659,0.00133044,0.00007215,-0.00028262,0.00000372
0.80354667,0.00022188,-0.00078276,0.00045684,-0.00586878,-0.99966681,-0.02510207,0.00132903,0.00008834,-0.00000517,-0.00001998
0.80853796,0.00022804,-0.00084710,0.00043484,-0.00585927,-0.99966699,-0.02509495,0.00133676,0.00008890,-0.00004685,-0.00001984
0.81352901,0.00023482,-0.00092309,0.00041513,-0.00586906,-0.99966693,-0.02509509,0.00134084,0.00008933,-0.00009140,-0.00001907
0.81851864,0.00024180,-0.00100308,0.00039358,-0.00585506,-0.99966711,-0.02509104,0.00135061,0.00008972,-0.00014062,-0.00001659
0.82350969,0.00024916,-0.00109029,0.00037219,-0.00586139,-0.99966699,-0.02509528,0.00135273,0.00008997,-0.00019233,-0.00001469
0.82850075,0.00025537,-0.00118846,0.00034924,-0.00585846,-0.99966705,-0.02509156,0.00135388,0.00009011,-0.00024708,-0.00001256
0.83349156,0.00027758,-0.00083000,0.00049639,-0.00583873,-0.99966717,-0.02509218,0.00135309,0.00002281,-0.00010433,0.00010358
0.83848286,0.00028651,-0.00090805,0.00048441,-0.00584615,-0.99966699,-0.02509707,0.00136210,0.00001868,-0.00015544,0.00011473
0.84347272,0.00029531,-0.00099249,0.00047213,-0.00584320,-0.99966723,-0.02508898,0.00136108,0.00001447,-0.00020982,0.00012671
0.84846377,0.00031046,-0.00108034,0.00046163,-0.00585493,-0.99966717,-0.02508987,0.00135708,0.00001017,-0.00026701,0.00014026
0.85345507,0.00032263,-0.00117479,0.00044929,-0.00585400,-0.99966711,-0.02509235,0.00135820,0.00000715,-0.00032725,0.00014830
0.85844588,0.00033549,-0.00127286,0.00043635,-0.00585406,-0.99966741,-0.02507915,0.00135475,0.00000361,-0.00039067,0.00016145
0.86343694,0.00034570,-0.00137471,0.00042167,-0.00586142,-0.99966717,-0.02508740,0.00135510,0.00000024,-0.00045706,0.00017496
0.86842656,0.00028552,-0.00091012,0.00027019,-0.00584337,-0.99966735,-0.02508454,0.00134756,-0.00001605,-0.00011975,0.00003581
0.87340975,0.00029245,-0.00099638,0.00024742,-0.00584179,-0.99966753,-0.02507813,0.00135217,-0.00002106,-0.00017022,0.00003864
0.87840080,0.00030142,-0.00107582,0.00022224,-0.00584011,-0.99966735,-0.02508566,0.00134789,-0.00002587,-0.00022427,0.00004102
0.88339186,0.00030961,-0.00116967,0.00019635,-0.00583729,-0.99966723,-0.02509055,0.00135411,-0.00003046,-0.00028237,0.00004632
0.88838291,0.00031813,-0.00126940,0.00016966,-0.00583099,-0.99966723,-0.02509368,0.00134891,-0.00003492,-0.00034209,0.00004926
0.89337397,0.00032716,-0.00137904,0.00014333,-0.00583585,-0.99966735,-0.02508863,0.00134794,-0.00003922,-0.00040448,0.00005131
0.89836478,0.00033647,-0.00149356,0.00011660,-0.00584418,-0.99966741,-0.02508395,0.00134958,-0.00004344,-0.00046790,0.00005016
0.90335488,0.00042273,-0.00088003,0.00030862,-0.00581496,-0.99966747,-0.02508718,0.00135303,-0.00000343,-0.00016667,0.00014988
0.90834594,0.00043781,-0.00096119,0.00028778,-0.00582293,-0.99966753,-0.02508379,0.00136162,-0.00000518,-0.00021680,0.00016070
0.91333675,0.00045399,-0.00104808,0.00026921,-0.00582397,-0.99966770,-0.02507523,0.00137668,-0.00000679,-0.00026954,0.00017418
0.91832781,0.00047009,-0.00114254,0.00024828,-0.00582450,-0.99966770,-0.02507146,0.00138158,-0.00000822,-0.00032584,0.00018566
0.92331767,0.00048611,-0.00124472,0.00022434,-0.00582130,-0.99966782,-0.02506974,0.00138666,-0.00000950,-0.00038515,0.00019720
0.92830873,0.00050424,-0.00134783,0.00021017,-0.00582661,-0.99966776,-0.02507141,0.00137689,-0.00000974,-0.00044732,0.00020717
0.93330002,0.00052171,-0.00146331,0.00018701,-0.00582338,-0.99966782,-0.02506936,0.00138679,-0.00000995,-0.00051270,0.00021799
0.93829083,0.00035278,-0.00076542,0.00023114,-0.00581389,-0.99966723,-0.02509442,0.00138290,-0.00002576,-0.00024053,0.00026655
0.94328189,0.00035948,-0.00084061,0.00021085,-0.00582145,-0.99966711,-0.02509736,0.00138235,-0.00002655,-0.00029297,0.00028154
0.94827294,0.00036630,-0.00091714,0.00019124,-0.00582132,-0.99966705,-0.02509989,0.00137850,-0.00002855,-0.00035095,0.00029292
0.95326281,0.00037344,-0.00099964,0.00017064,-0.00582756,-0.99966723,-0.02509275,0.00137883,-0.00002946,-0.00041053,0.00030703
0.95825386,0.00038062,-0.00108175,0.00014954,-0.00582970,-0.99966705,-0.02509855,0.00137838,-0.00003021,-0.00047350,0.00032169
